Game,Day,Jodi,First Hit,Return Hit,Interval (Weeks)
AK,Tuesday,76,03/01/2023,24/01/2023,3
LS2,Saturday,92,09/08/2025,30/08/2025,3
LS3,Saturday,73,24/08/2024,21/09/2024,4
AK,Tuesday,30,17/01/2023,14/02/2023,4
AK,Wednesday,27,18/01/2023,08/02/2023,3
AK,Thursday,68,19/01/2023,23/02/2023,5
GM,Friday,44,01/03/2024,22/03/2024,3
GM,Tuesday,21,27/05/2025,24/06/2025,4
GM,Thursday,74,25/09/2025,16/10/2025,3
LS1,Sunday,23,10/11/2024,15/12/2024,5
LS3,Wednesday,86,08/02/2023,15/03/2023,5
AK,Friday,39,10/02/2023,17/03/2023,5
AK,Friday,07,04/10/2024,01/11/2024,4
LS2,Thursday,81,31/08/2023,05/10/2023,5
LS3,Friday,72,06/06/2025,11/07/2025,5
LS1,Monday,14,29/09/2025,03/11/2025,5
LS3,Tuesday,32,14/03/2023,04/04/2023,3
LS1,Monday,38,20/11/2023,25/12/2023,5
LS3,Wednesday,97,22/03/2023,12/04/2023,3
LS3,Wednesday,82,03/07/2024,24/07/2024,3
LS1,Friday,99,12/04/2024,10/05/2024,4
GM,Saturday,33,08/04/2023,13/05/2023,5
GM,Monday,15,19/05/2025,09/06/2025,3
AK,Tuesday,06,11/04/2023,16/05/2023,5
AK,Friday,56,23/02/2024,29/03/2024,5
LS3,Monday,71,09/12/2024,06/01/2025,4
GM,Thursday,98,20/04/2023,11/05/2023,3
LS3,Friday,03,02/05/2025,30/05/2025,4
LS1,Tuesday,11,09/09/2025,30/09/2025,3
GM,Monday,56,16/03/2026,13/04/2026,4
LS2,Friday,52,13/02/2026,20/03/2026,5
GM,Monday,43,30/06/2025,28/07/2025,4
LS3,Sunday,48,04/06/2023,02/07/2023,4
LS1,Wednesday,81,07/06/2023,05/07/2023,4
GM,Thursday,48,24/04/2025,15/05/2025,3
AK,Friday,86,03/10/2025,07/11/2025,5
AK,Saturday,08,27/01/2024,24/02/2024,4
LS1,Wednesday,70,14/06/2023,19/07/2023,5
GM,Friday,80,16/06/2023,07/07/2023,3
LS3,Friday,50,16/06/2023,21/07/2023,5
LS3,Wednesday,75,21/06/2023,19/07/2023,4
GM,Friday,54,23/06/2023,21/07/2023,4
LS1,Sunday,19,25/06/2023,30/07/2023,5
AK,Tuesday,46,11/07/2023,08/08/2023,4
LS3,Wednesday,89,06/12/2023,10/01/2024,5
GM,Thursday,96,27/07/2023,31/08/2023,5
LS2,Thursday,20,29/02/2024,28/03/2024,4
LS2,Thursday,20,28/03/2024,18/04/2024,3
LS3,Saturday,88,05/08/2023,26/08/2023,3
LS2,Sunday,83,01/03/2026,29/03/2026,4
LS2,Monday,82,13/01/2025,03/02/2025,3
LS3,Tuesday,78,08/08/2023,12/09/2023,5
GM,Friday,28,18/08/2023,15/09/2023,4
LS1,Wednesday,51,18/09/2024,16/10/2024,4
LS2,Wednesday,74,22/10/2025,19/11/2025,4
LS2,Wednesday,55,30/08/2023,27/09/2023,4
AK,Wednesday,98,06/09/2023,04/10/2023,4
GM,Saturday,42,19/07/2025,23/08/2025,5
GM,Wednesday,28,22/05/2024,12/06/2024,3
GM,Saturday,21,02/12/2023,06/01/2024,5
LS1,Sunday,34,18/08/2024,15/09/2024,4
LS2,Tuesday,88,02/09/2025,07/10/2025,5
LS2,Sunday,47,19/10/2025,09/11/2025,3
LS1,Monday,77,01/01/2024,29/01/2024,4
LS3,Wednesday,17,07/01/2026,28/01/2026,3
LS1,Friday,06,06/10/2023,10/11/2023,5
AK,Friday,97,31/05/2024,05/07/2024,5
GM,Sunday,32,10/08/2025,07/09/2025,4
AK,Tuesday,94,10/10/2023,31/10/2023,3
GM,Thursday,83,26/10/2023,23/11/2023,4
LS2,Monday,65,30/10/2023,27/11/2023,4
GM,Wednesday,01,03/01/2024,31/01/2024,4
AK,Tuesday,59,21/11/2023,19/12/2023,4
LS2,Tuesday,16,28/05/2024,02/07/2024,5
LS3,Friday,83,01/12/2023,29/12/2023,4
AK,Monday,93,04/12/2023,01/01/2024,4
LS3,Tuesday,55,05/12/2023,26/12/2023,3
LS2,Friday,66,15/12/2023,12/01/2024,4
LS2,Friday,66,13/09/2024,11/10/2024,4
GM,Monday,27,13/01/2025,10/02/2025,4
LS3,Monday,31,25/12/2023,22/01/2024,4
LS1,Saturday,51,30/12/2023,03/02/2024,5
LS2,Tuesday,28,09/01/2024,30/01/2024,3
AK,Thursday,44,11/01/2024,01/02/2024,3
LS2,Saturday,44,13/01/2024,03/02/2024,3
AK,Monday,44,03/11/2025,08/12/2025,5
AK,Monday,18,12/02/2024,04/03/2024,3
LS3,Tuesday,77,13/02/2024,19/03/2024,5
LS2,Sunday,61,09/03/2025,06/04/2025,4
LS1,Saturday,09,24/02/2024,30/03/2024,5
LS1,Monday,82,26/02/2024,25/03/2024,4
GM,Wednesday,96,10/09/2025,01/10/2025,3
AK,Monday,99,14/04/2025,12/05/2025,4
AK,Friday,60,22/03/2024,26/04/2024,5
LS2,Wednesday,56,17/04/2024,15/05/2024,4
LS1,Tuesday,97,30/04/2024,28/05/2024,4
AK,Sunday,72,31/08/2025,05/10/2025,5
AK,Sunday,39,17/08/2025,21/09/2025,5
LS1,Friday,80,27/12/2024,31/01/2025,5
LS3,Monday,80,27/05/2024,01/07/2024,5
LS3,Friday,14,13/06/2025,18/07/2025,5
LS3,Friday,31,14/06/2024,12/07/2024,4
AK,Wednesday,01,03/07/2024,24/07/2024,3
AK,Thursday,22,11/07/2024,01/08/2024,3
LS1,Monday,68,08/09/2025,06/10/2025,4
LS3,Tuesday,95,10/09/2024,15/10/2024,5
LS3,Monday,87,02/03/2026,23/03/2026,3
GM,Wednesday,52,29/10/2025,19/11/2025,3
GM,Monday,20,16/02/2026,23/03/2026,5
GM,Wednesday,92,02/10/2024,30/10/2024,4
LS2,Wednesday,73,02/10/2024,06/11/2024,5
LS1,Friday,02,18/10/2024,08/11/2024,3
AK,Tuesday,15,30/12/2025,20/01/2026,3
LS1,Saturday,77,16/11/2024,21/12/2024,5
AK,Wednesday,61,27/11/2024,01/01/2025,5
LS1,Saturday,76,28/06/2025,19/07/2025,3
AK,Wednesday,99,25/12/2024,22/01/2025,4
LS3,Thursday,81,02/01/2025,06/02/2025,5
LS1,Tuesday,98,07/01/2025,28/01/2025,3
LS3,Monday,15,13/01/2025,17/02/2025,5
AK,Friday,95,17/01/2025,14/02/2025,4
LS3,Sunday,05,02/02/2025,09/03/2025,5
LS2,Wednesday,70,12/02/2025,19/03/2025,5
AK,Thursday,06,01/05/2025,22/05/2025,3
LS3,Thursday,86,18/09/2025,23/10/2025,5
LS1,Sunday,62,02/11/2025,07/12/2025,5
GM,Saturday,83,24/05/2025,21/06/2025,4
AK,Wednesday,85,15/10/2025,12/11/2025,4
LS3,Thursday,51,19/06/2025,17/07/2025,4
GM,Sunday,13,29/06/2025,20/07/2025,3
LS3,Wednesday,24,02/07/2025,06/08/2025,5
LS2,Thursday,51,03/07/2025,24/07/2025,3
LS2,Friday,31,11/07/2025,15/08/2025,5
LS2,Friday,18,31/10/2025,05/12/2025,5
LS3,Sunday,00,09/11/2025,07/12/2025,4
LS1,Thursday,16,13/11/2025,18/12/2025,5
LS2,Sunday,36,23/11/2025,28/12/2025,5
LS3,Saturday,49,06/12/2025,10/01/2026,5
GM,Monday,22,05/01/2026,09/02/2026,5
GM,Saturday,08,07/02/2026,07/03/2026,4
AK,Monday,88,26/01/2026,16/02/2026,3
